,G#,Date,Tm,Away,Opp,FantPt,Name,Position,Season
0,1.0,2020-09-14,TEN,1,DEN,13.1,Derrick Henry ,RB,2020
1,2.0,2020-09-20,TEN,0,JAX,8.4,Derrick Henry ,RB,2020
2,3.0,2020-09-27,TEN,1,MIN,25.0,Derrick Henry ,RB,2020
3,4.0,2020-10-13,TEN,0,BUF,18.3,Derrick Henry ,RB,2020
4,5.0,2020-10-18,TEN,0,HOU,38.4,Derrick Henry ,RB,2020
5,6.0,2020-10-25,TEN,0,PIT,13.2,Derrick Henry ,RB,2020
6,7.0,2020-11-01,TEN,1,CIN,17.2,Derrick Henry ,RB,2020
7,8.0,2020-11-08,TEN,0,CHI,6.8,Derrick Henry ,RB,2020
8,9.0,2020-11-12,TEN,0,IND,10.9,Derrick Henry ,RB,2020
9,10.0,2020-11-22,TEN,1,BAL,19.2,Derrick Henry ,RB,2020
10,11.0,2020-11-29,TEN,1,IND,36.5,Derrick Henry ,RB,2020
11,12.0,2020-12-06,TEN,0,CLE,4.9,Derrick Henry ,RB,2020
12,13.0,2020-12-13,TEN,1,JAX,34.2,Derrick Henry ,RB,2020
13,14.0,2020-12-20,TEN,0,DET,23.2,Derrick Henry ,RB,2020
14,15.0,2020-12-27,TEN,1,GNB,9.8,Derrick Henry ,RB,2020
15,16.0,2021-01-03,TEN,1,HOU,35.0,Derrick Henry ,RB,2020
